Case Type,Cousulting Ferm,Industry Coverage,text,title
estimate/guesstimate | math problem,Oliver Wyman,"sports, leisure & recreation","Case Interview Question #00293: In an average week, do more people play football (soccer), or watch a football match in the United Kingdom (UK)?
Possible Answer:
More people play football than watch a football match in the UK.
At first sight this looks like a brainteaser question. The job candidate should realize that it can be solved as an estimation/guesstimate or market sizing case. The key to approaching this type of case questions is: to start by clarifying the question; then to identify any assumptions you can make to simplify the problem; next to break down the problem logically, before finally getting into the detail of the numbers. Interviewers will be impressed with people who can approach a problem conceptually, and also who can find ways of getting to a roughly right or “80/20” version of the truth quickly, which can be refined later.
1. Start by raising any questions you have to clarify the parameters of the analysis.
In this case, you might want to confirm that “watching a football match” means watching a match in person, not on TV; and that “playing in a match” means playing in an organized manner with 2 full teams and a defined pitch, rather than a kick-about with friends in the local park, or with your kids in the garden. Football could include 5-a-side as well as full XIs, but does not include non-standard football, e.g. Eton Fives or other variants.You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",More People Play Football Than Watch Football Match in UK
estimate/guesstimate | math problem,Oliver Wyman,"Agriculture, Farming & Aquaculture","Case Interview Question #00292: How many spikes are there on the back of a hedgehog?
Possible Answer:
Answering this estimation/guesstimate type of case questions requires answering a number of sub-questions (SQ). To estimate the number of spikes on the back of a hedgehog, the following sub-questions and possible solutions could be used:
SQ1: How do you define the ‘back’ of a hedgehog?
Let’s go with the latter option and try to determine the area of that.You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",How Many Spikes Are on the Back of a Hedgehog?
estimate/guesstimate | math problem,Oliver Wyman,telecommunications & network,"Case Interview Question #00291: How much interest is lost on money sitting in telephone boxes (a.k.a. telephone booth or telephone kiosk) in England each year? Calculate the interest for year 2006 and 1985.
Possible Answer:
Answering this estimation/guesstimate case question requires answering a number of sub-questions (SQ):
SQ1: How many telephone boxes are there in England?
a. Start by considering how many people there are per telephone box.You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",How Much Interest is Lost on Money Sitting in Phone Boxes?
estimate/guesstimate,Oliver Wyman,entertainment | electronics,"Case Interview Question #00290: How many songs are stored on iPods in the United Kingdom (UK)?
Possible Answer:
A guesstimate/estimation case question should be solved by posing and answering a number of sub-questions (SQ). To estimate how many songs that are stored on iPods in the UK, the following sub-questions and answers could be used (the numbers within brackets below are for illustrative purposes only. Note that this question requires you to have some background knowledge about digital music):
1. How many people live in the UK?
2. What is the MP3 player penetration in the UK?
3. What is Apple’s share of the MP3 player market in the UK?
4. What is the average storage space on an iPod?
5. How large is the proportion of storage space used for music?
6. What is the average size of song?
SQ1: How many people live in the UK?
You don’t have to be exactly right, but you should know that the population is around 60 million people.You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",How Many Songs Are Stored on iPods in the UK?
estimate/guesstimate,Oliver Wyman,mass media & communications,"Case Interview Question #00289: How many words are there in the daily edition of The Times?
Possible Answer:
When faced with a structured estimation/guesstimate type case question such as this one, it is essential to make your assumptions and thought-process as clear as possible at the very beginning of the interview. You should start by laying out any key principles which will help you simplify the problem – getting the answer exactly right isn’t required. 
In this example, the key principle is to come up with the number of text-only pages in a standard copy, and combine this with an estimate of words per text-only page. One way of simplifying the problem is to exclude text in advertisements and diagrams, to make it easier to covert a standard page into a fraction of text-only page. Another simplification is to exclude any additional supplements.
Once you have set out any key principles and simplifying assumptions, break the problem into sub-questions or a logic flow to show the interviewer how you are thinking. One possible set of sub-questions is shown below:
1. On average, how pages are there in the daily Times, excluding supplements?
2. How much of the paper is taken up by advertisements?
3. What fraction of news story pages is taken up with images or diagrams?
4. What is the number of words on a text-only page?
Question #1: On average, how pages are there in the daily Times, excluding supplements?You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",How Many Words Are in the Daily Edition of The Times?
estimate/guesstimate,Oliver Wyman,transportation | railroads & trains,"Case Interview Question #00288: How many trains are there on the London Underground?
Possible Answer:
For this type of structured estimation/guesstimate case question, it is especially important to make your assumptions and thought process clear. You will be expected to make some simplifications as you go along. Getting the answer exactly right isn’t required.
You should start by stating any restrictions you are going to make to simplify the problem or make the scope more manageable. For example, you might want to consider operation during peak times only, and only cover trains actually in operation – excluding trains not in service, sitting in sidings etc. In addition, you might want to clarify that the London Underground excludes the DLR.
Next break the problem into sub-questions or a logic flow to show the interviewer how you are thinking and that you grasp the key principles required to solve the problem. For example, for this question one key principle to establish at the start is the idea of “routes” or branches, rather than individual lines (a complex line such as the Northern line consists of several branches, and each train serves a particular branch rather than the entire line).
One possible flow is shown below.  We answer the questions as numbered:You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",How Many Trains Are on the London Underground?
mergers & acquisitions  ,KPMG,banking | financial services | information technology (IT),"Case Interview Question #00287: Two companies in the financial service industry have recently merged. You will be addressing the boards of these two companies regarding their upcoming IT integration strategy and have the opportunity to interview the CEO’s of each company involved. What key information would you like to ask the CEO’s to prepare for the board meeting and what will you likely discuss?
Additional Information:
None. Everything the candidate needs is already given in the set-up.
",How to Address IT Integration Strategy After Merger?
operations strategy | mergers & acquisitions  ,Bain & Company,"software, information technology (IT) | computers","Case Interview Question #00286: The client Symantec Corporation (NASDAQ: SYMC) is a manufacturer of security software for computers. Headquartered in Mountain View, California, Symantec is a Fortune 500 company and a member of the S&P 500 stock market index. Symantec offers shrink-wrapped security software application products and has grown over the last few years – mainly through multiple acquisitions. In the recent time, however, their stock price has declined significantly. The sales have declined but their customer service department has shown impressive growth in revenues over the last few months.
Recently, the CEO of Symantec has an offer  from one of the largest personal computer OEMs (Original Equipment Manufacturers) in the country to bundle his software product with their PC products and he’s unable to decide what to do. You have been brought in to help him analyze the situation and charter the path ahead. What would you recommend?
Possible Answer:
You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Symantec Turns Down PC Maker’s Product Bundling Offer
improve profitability,Boston Consulting Group (BCG),transportation | small business,"Case Interview Question #00285: There is this taxi driver in Mumbai, India who wants to increase his revenue and profits. The driver is the owner of the taxi and operates during the day time. The taxi driver starts his day at one of the Mumbai Suburban Railway stations and works for 10-12 hours daily. How would you go about analyzing this case?
Possible Answer:
Candidate: Hi. I would like to clarify a few things before I start analyzing the case.
Interviewer: Sure go ahead.
Candidate: What is the current state of the operations of the taxi driver? Has there been any recent change in fare policy? I am assuming that fuel, parking fee and maintenance to be the major cost heads. Is there any other cost that I am overlooking?
You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",How to Help A Mumbai Taxi Driver Improve Profitability?
mergers & acquisitions  ,Capgemini,"sports, leisure & recreation","Case Interview Question #00284: The client Wilson Sporting Goods is a manufacturer of sports equipment and supplies based in Chicago, Illinois. Currently with greater than $550 million / year in sales, the client is a foreign subsidiary of the Finnish company Amer Sports. Wilson Sporting Goods has just purchased a mid-sized, struggling sports magazine Sports Illustrated with roughly $15 million / year in sales for the purpose of gaining access to its subscriber list for direct marketing purposes. A recent state legislation, however, has forbidden the use of the subscriber list for such a purpose.
The CEO of Wilson Sporting Goods has hired you as an external consultant and asked for your help deciding what to do with this company. What avenues would you pursue, what information would you look for, and what suggestions would you make?
Additional Information:
",Wilson Sporting Goods to Buy Sports Illustrated Magazine
reduce costs,Deloitte Consulting,healthcare: hospital & medical | education & training services,"Case Interview Question #00283: Our client is University of Illinois Medical Center (UIMC), a large academic medical center located in the Chicago metropolitan area. The UIMC is a member of the Illinois Medical District, one of the largest urban healthcare, educational, research, and technology districts in the USA. The Medical Center itself is composed of a 507-bed hospital, outpatient diagnostic and specialty clinics, and two Federally Qualified Health Centers (FQHCs) that serve as primary teaching facilities for the University of Illinois at Chicago (UIC) Health Science Colleges.
The board of UIMC has hired Deloitte Consulting Group to reduce expenses in their Emergency Room (ER). They have identified the ER as one of their highest costs departments, and have set a target of reducing operating costs by 25% within two years. They would like our assistance in identifying the opportunities for cost reduction, redesigning the operations to eliminate the costs, and implementing the changes. How would you structure an approach to this project?
Additional Information:
Possible Answer:
You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",University of Illinois Medical Center to Cut ER Costs by 25%
improve profitability | reduce costs,Ernst & Young (EY),computers & office supply,"Case Interview Question #00282: The client Staples Inc. (NASDAQ: SPLS) is a large office supply chain store and distributor of office supplies. Based in Framingham, Massachusetts, USA, Staples has over 2,000 stores worldwide in 26 countries. Staples sells supplies, office machines, promotional products, furniture, technology and business services both in stores and online. This case is about one particular Staples store located in Central London, United Kingdom, which has experienced declining profitability over the past five years. The store manager has hired you as a consultant to identify the profitability problem for his store and to help resolve it. How would you address this declining profitability trend for Central London Staples Store (CLSS)?
Additional Information (to be given to you as the case progresses):
Company
Customers
Competitors
Products
Sells a full-line of office supplies (e.g., business machines, computers, computer software, office furniture, printing paper, pens, toner),  “All your office supply needs.”
Order Fulfillment
Costs
Suggested Frameworks:
Profitability model with emphasis on understanding fixed v.s. variable operating costs.
",London Staples Store to Cut Customer Service Costs
improve profitability | increase sales/market share,Ernst & Young (EY),cosmetics & beauty products | consumer products,"Case Interview Question #00281: Your client BeautyAsia (BA) is a health and beauty consumer products company headquartered in Kuala Lumpur, the capital and the largest city in Malaysia. BeautyAsia manufactures and sells a line of cosmetic products ideally suited for the Malaysian marketplace. Although it has been a successful company for over twenty years, it has been losing money for the past two years and its market share has declined. The CEO of BeautyAsia has asked you to assist in diagnosing the problem and coming up with a few possible solutions to solve the problem. What should BeautyAsia do to restore its profitability?
Additional Information (to be given to you as the case progresses):
Company
Competitors
Consumers
As a result of multinational competitors entering the market, consumers have been exposed to new types of products and their health and beauty product tastes have become broadened and become more sophisticated
Products
Distribution Channels
Suggested Frameworks:
Given the client’s decline in market share, the 3Cs model (i.e., Competition, Company, Customers) is an effective framework in this case.
",Malaysia’s BeautyAsia to Restore Falling Profitability
operations strategy | organizational behavior,PricewaterhouseCoopers (PwC),household goods & consumer products,"Case Interview Question #00280: You have been recently hired into the Strategic Change (SC) group, a strategic business unit of PricwaterhouseCoopers (PwC). The Strategic Change group is the strategy thought leader in PwC. The engagement partner in Consumer Products group has come to SC to help develop a strategy for Unilever USA, a wholly-owned subsidiary of British-Dutch multi-national conglomerate Unilever Group (LSE: ULVR, NYSE: UN for Unilever N.V., NYSE: UL for Unilever PLC). This engagement has the potential of positioning PwC to Unilever USA and its parent conglomerate Unilever Group for the next five, possible ten years. You have been assigned to this engagement, how would you go about developing a business strategy for the client?
Additional Information:
The following additional information will be provided to you during the case interview.
Client Company Background
Unilever USA is a wholly-owned subsidiary of multi-national conglomerate Unilever Group. The conglomerate owns ten companies operating in the U.S. Unilever USA is the largest of the ten. Unilever USA is a consumer goods company distributing well-known branded products through grocery, drug, mass merchant and club channels. With $4 billion in revenues, Unilever USA is one of the top three players in the consumer goods industry in the U.S. The company has been marginally profitable over the past ten years. Last year the company made a profit due largely to an accounting change.
Although Unilever USA only operates in the U.S., it owns several manufacturing and distribution facilities around the world to support its production and distribution systems. Unilever USA takes advantage of lower labor costs in Mexico, Canada and Southeast Asia to lower its manufacturing costs. Unilever USA still maintains three plants in the U.S. Because of the over-capacity that Unilever USA has experienced, Unilever USA has negotiated deals with sister companies overseas to manufacture and direct-ship product.
Unilever USA has four market segments that operate as profit centers. The market segments are: Personal Hygiene, Consumer Tissue, Soaps and Detergents and Personal Care. Even though the revenues are roughly evenly divided among all four market segments, Personal Care contributes 90% of the company’s profits. In Personal Care, Unilever USA owns the two top branded products, in the other categories the company has the number two brand, and in one segment, number three. Unilever USA has committed to building a consumer franchise through aggressive advertising and in-store merchandising support.
Consumer Products Industry Trends
In the U.S., brands are under attack from private labels, who are now competing on both price and quality. Brands are looking to justify their price premiums. The value of being the number one brand cannot be taken lightly. The return on sales of the top brand is almost twice that of the number two brand. The return on sales for the number two brand is twice that of the number three brand.
The power of the retail industry in the U.S. has increased dramatically over the past five years. The retailers are driving additional costs upon manufacturers. With established products, retailers are demanding a minimal level of turns per year. With new products, retailers are demanding slotting fees and ever-increasing promotional support. Product managers are forced to achieve current product revenue and market share goals while stimulating demand for new products. Many industry experts feel that there will be consolidation of brands within many of the market segments in which Unilever USA competes and, as a result of this brand consolidation, that Unilever USA will lose critical sales mass and become a major casualty.
In the last two years the allocation of marketing dollars has changed dramatically; trade promotion has risen to 40% of total marketing spending, consumer promotion has climbed slightly and advertising has declined. Industry analysts have pointed to Unilever USA’s trade promotion strategy as being the catalyst for the growth in trade promotion in the industry as competitors have been forced to respond.
Unilever USA is widely regarded as a retail-oriented company. With a sales force that is twice the size of anyone else’s in the industry, Unilever USA has forged great retail relationships over the years. Unilever USA traditionally had the best order fill rate in the business; however, recently some of the efforts to reduce inventory has caused shortages in key promoted products.
Unilever USA Organization Structure
There are six Executive Vice Presidents (EVPs) in Unilever USA responsible for functional areas. All the EVPs report to the President, who is also CEO. The Executive Vice Presidents represent Marketing, Sales, Finance, Manufacturing, Engineering and Human Resources. The EVP of Finance has responsibility for financial reporting and analyses as well as managing Procurement, Deployment, Scheduling and Logistics. All the market segment managers report directly to the Executive Vice President of Marketing.
Much of the blame for the performance of the company over the last ten years fell on the shoulders of the former president. It was whispered that he was from the “old school” and could not change his ways. The new president of Unilever USA, an American, joined the company six months ago. He was the Executive Vice President of an important European division of a sister company. The conglomerate has always prided itself on being able to leverage its multi-national resources.
Unilever USA Current Situation
Venn Teldren, the Executive Vice President of Finance, is considered to be a brilliant man by many in the industry. Born and raised in Europe, Mr. Teldren rose quickly through the organization. However, because of his outspoken nature, he angered enough senior level executives (“showed up” as Mr. Teldren would say) that he has never received a position of president, even though his name is mentioned every time an opening appears.
Recently the vice chairperson of the conglomerate responsible for the group in which Unilever USA is a member, sat down with the Unilever USA President and EVPs. The vice chairperson stated that the company needed to improve performance within one year. He offered a couple of scenarios of what the conglomerate was considering in the event that the management failed to improve profitability.
Scenario 1:  Drop unprofitable brands and reduce the size of the company.
Scenario 2:  Merge the company with a sister company that has similar distribution requirements and have proven profitability.
Recent Initiatives
Unilever USA has recently taken part in an industry-wide study called Efficient Customer Response or ECR. The study found that an industry-wide effort to develop  more efficient trade practices and delivery systems could save an aggregated $30 billion dollars a year. PwC assisted Unilever USA in this study. All the EVPs agree that there are huge dollar savings that can be achieved with efficiency improvements.
Venn believes that the supply chain (i.e., Procurement, Manufacturing, Deployment, Scheduling, Logistics, and Warehousing) can become a strategic advantage for the company if it can outperform its competitors. PwC studies have shown that improvements cannot be made without the input or the support of all the functional areas of the company, especially Marketing and Sales. The EVPs from Marketing and Sales do not always see the Supply Chain as key players; in fact, the EVPs of Marketing and Sales see the Supply Chain as only a vendor to them.
Venn knows that the results of the ECR initiative may not be enough to rally support among the EVPs. Venn knows that whatever strategy is accepted needs to define the roles of each of the EVPs and to provide an outlet for each EVP to demonstrate his and her skills. He is also aware that the other EVPs are very conscious of the growth of Venn’s power. Each EVP will initiate a project with the assumption that the architect of the solution to Unilever USA’s current situation will be in position for the next presidency.
The EVP of Human Resource has championed the need to implement a whole new way of envisioning the company working together. She has envisioned a flatter organization and has spent years developing studies with another leading consultancy to support her vision. She has a strong supporter in the EVP of Sales. The present EVP of Sales was originally from Human Resources. Her vision has always entailed an extensive re-structuring and re-training effort.
The EVP of Engineering feels that the company needs to invest in its new product capability. The strategy is to acquire smaller, regional companies that are producing differentiated products. “We can absorb them into us and stimulate our new product pipeline,” he stated. “With these new, regionally proven products, we can fill capacity and leverage our distribution and sales strength. I can also energize my area with fresh ideas. It’s win-win, no doubt about it.”
The EVP of Manufacturing is sick and tired of hearing that manufacturing is the problem. He points to the fact that they re producing and shipping three times the product they were five years ago with the same number of people they had eight years ago. If things don’t change in other areas, then things won’t change in Manufacturing, other than the inability to support the orders coming in.
The EVP of Marketing believes that a combination of re-structuring and acquisition is needed. He wants to reduce the salesperson’s role with the retailer and focus on consumer spending behind a “high quality” message grounded in tangible product benefits across all product segments. He wants to broaden the product mix with new products from acquisition.
The Engagement
Venn has mentioned to Gary Forstman, the PwC engagement partner, that he is willing to devote the necessary resources in his functional areas to prove out the right strategy to the other EVPs. Venn has also indicated that the company is willing to devote significant resources and capabilities to the right effort. “All the EVPs know,” he said, “that there will be whole-scale changes if the company doesn’t turn itself about.”
Mr. Forstman has called Grady Means, PwC Strategic Business Unit (SBU) leader and partner, and said, “This is PricewaterhouseCoopers’ first major engagement with Unilever USA after several years of smaller engagements where we were able to demonstrate our ability to implement solutions. Now we have an opportunity to really shine. The company is re-evaluating its strategic position and has asked several consulting firms to talk to them.” Grady discussed the situation with PwC partner, Michael Hanley, and they agreed that you would be a great person to work on this project. You receive a call from Grady. After exchanging pleasantries, Grady explains the situation to you: “We need some dynamic thinking on this one. I know Venn Teldren from years ago. Venn is going to be all over us if we don’t get this right. What’s important is that we show Venn that we have a vision of where the company needs to go, how the parts fit together and how they are going to get there. What is important is that our analysis is fact-based. We need to be ready to say to Venn, ‘This is the situation, this is the problem, this is the solution and this is step one, step two, step three on what you need to do tomorrow.’  This is a big opportunity for us and I’m counting on you. See what you can come up with by this time next week. Feel free to call Michael or myself with any questions. Okay, talk to you soon.”
Specific Questions :
",Unilever USA Retains PwC to Improve Profitability
operations strategy | organizational behavior,PricewaterhouseCoopers (PwC),telecommunications & network,"Case Interview Question #00279: PricewaterhouseCoopers (PwC) has recently proposed on, and appears to have won, a major engagement to create an information technology (IT) strategy for a big telecommunications company called Telekinesis Inc. Telekinesis is modestly profitable, with $131 million in sales last year and approximately 200,000 customers spread out over four adjacent, mostly rural geographies. PricwaterhouseCoopers has worked for Telekinesis Inc. in the past, but has not done any significant work for over a year and a half. This is PricwaterhouseCoopers’ first substantial engagement with the company. As a consultant assigned to this project by a PwC partner, how would you go about developing an Business/IT strategy for the client?
Additional Information:
The following additional information will be provided to you during the case interview.
Client Company Background
The client Telekinesis Inc. was formed in 1992 by executives from four former Regional Bell Operating Companies (RBOCs) and two principals in Silicon Valley technology start-ups. One of the principals is from a start-up company that pioneered a new kind of wireless propagation technology.
Telekinesis was founded on the principle that the current telecommunications industry is populated with companies who are almost congenitally incapable of optimizing their form of organization and culture to meet the competitive challenges of the 1990s. The founders believe that local loop technology, which relies on communication devices which are peers in a large technology community, where every device has a permanent and unchangeable identification, is the silver bullet of the telecommunications industry, and that the RBOCs are not ready or willing to exploit it. Local loop technology (LLT) is considered by RBOC management to be radical, unproven and unreliable.
Telekinesis Inc. is modestly profitable, with $131 million in sales and approximately 200,000 customers spread out over four adjacent, mostly rural geographies. Approximately 90% of its sales come from four small local telephone companies. The company’s strategy is to use the operating experience and customer positioning of  the four local telephone companies to develop and implement local loop wireless service or LLWS (often pronounced “laws”). The concept behind this service is based on the fact that the current phone companies control wiring to and from a central office facility. This facility is in effect a big switching box. The central office acts like a big hub with many spokes radiating from it. LLWS eliminates the central office and substitutes simple, unobtrusive, premises wireless relay equipment. There is at least one local loop server facility that is somewhat analogous to a central office but  not needed to maintain service. The server facility is used to monitor quality and provide a trap for billing.
Local loop wireless services are fully integrated. They include telephonic communication as well as cellular, pager, on-demand video, and “highway” services. Highway services permit companies within the local loop to communicate with each other as if they were on a large universal local area network. Computers located in both home and office are immediately interconnected by the local loop. Importantly, there are literally no wires involved in any of these services (except of course for plugging into the wall to get electricity). Physical customer hook-ups are non-existent. Customers are granted access, and services and information are secured through software interfaces in LLWS devices, such as television sets, laptop computers, pagers, etc. Telekinesis has a number of arrangements with software and hardware vendors to create LLWS devices.
Understandably, the industry discounts LLWS as another “high tech California fantasy.” Bell Core engineers, while acknowledging the future potential of local loop technology, dispute Telekinesis’s claims that the bandwidth and quality is actually present in production, commercially available products to be installed in the real world.
Telekinesis’ doctrine is to completely convert all 200,000 current subscribers of the four local phone companies at once, with no phase in.  Each of the four local companies will be converted separately.
Telekinesis bought the four local phone companies in order to have large scale pilot sites for local loop wireless services. Telekinesis’ fundamental business proposition is that the changing regulatory landscape will allow it to compete with local Bell telephone companies, providing a higher performance, lower cost alternative to the existing local phone companies for local and long-distance telephone service, paging, cable t.v., and cellular phones.
Telecommunications Industry Trends
The early 1980s were a time of turmoil for the telecommunications industry.  For the first time in  history, AT&T was deregulated and lost its monopoly status.  This meant competition for AT&T where none had existed before.  Long-distance was the arena of competition.
“Telecommunications” includes much more than simply making a phone-call.  It encompasses cable television service and network connectivity which brings interactive television, shopping forums, education and information services into the home.  The phone lines that the telecommunications companies control enable computers to communicate from remote locations, and can gather information from databases and news services around the world within seconds.
The possibilities for profits in this arena are practically limitless, and the sphere of competition is expanding.  Up to 1994, only long-distance carriers were in competition, but local calling areas are going to be opened up for competition in the late 1990s.
Telekinesis Organization Structure
There are currently three business units: 1) residential, which is divided into the “plain vanilla” customers that have only one phone line into the house and no add-ons such as cellular phones, pagers, additional lines, etc. and 2) residential customers who have add-on services and are good candidates for taking advantage of the new technology; and 3) small business. Each of Telekinesis’s business units has a President who  reports to the CEO. In addition, R&D and Technology Assurance, essentially a quality management program, also report directly to the CEO. Telekinesis is tightly controlled by the principals who founded the company and all the senior positions just described are held by the founders.
There are really no Corporate functional areas such as Finance, Purchasing, Distribution, and Human Resources. These functions exist  in the original phone companies as they did  before the companies were acquired. An outsider with the title of Chief Financial Officer runs the Corporate functional area. She had a brief tenure as the CFO of an RBOC.  The Technology Assurance Group helps support the existing communications and networking infrastructure.
Telekinesis Current Situation
PricewaterhouseCoopers was retained because of their knowledge of the RBOCs and an audit relationship with the four local phone companies. They were retained by Telekinesis for special start-up services, legal and regulatory counsel and assistance in dealing with obtaining additional venture capital financing. Because of the technology nature of Telekinesis, the PricwaterhouseCoopers Financial Advisory Services partner contacted IT Strategic Services. The Firm has now been asked to deal with the operational dimensions of Telekinesis as it commences detailed tactical planning for LLWS activation.  Another management consulting firm is providing some business strategy consulting to Telekinesis.
PricewaterhouseCoopers has been asked to propose on three major stages of work: 1) process vision; 2) tactical doctrine; 3) infrastructure and value.  These are meant to give Telekinesis “process efficacy.”  This is their language.
The current company is, in effect, the combination of the four small southern telephone companies that were acquired and are now operated by Telekinesis. However, except for top management, the vast majority of employees of the telephone companies were retained, as were the administrative and operational support systems. Some of those employees are very excited to be able to participate in this opportunity, but a lot of the old timers are dubious and apprehensive.
All telephone company processes and functions are essentially the same as before the acquisition by Telekinesis. Telekinesis concentrated on establishing a simple, “no frills” system for collecting financial and operating information on the telephone companies but did virtually nothing to change the actual operations of the companies.
Marley and Cratchet (the two silicon valley entrepreneurs) expect that the consultant selected will be able to bring fresh creative ideas to the process of what they term is “…creating a 21st Century company for a 21st Century business.” Included in their definition of process efficacy is the notion of “enterprise extensibility,” or put more simply put the capability to seamless team with external suppliers in a variety of value-adding, integrative relationships that can be episodic or persistent. Particularly important is the aspect of Telekinesis strategy in which vendors will provide LLWS compatible devices to customers who will pay a one-time $15 fee for the equipment.
All four Telekinesis executives expect that the process efficacy initiatives will include information systems and technology strategy and planning. They want the consultant to provide a guaranteed “operational profile” that states that the recommended configuration of hardware and software, costing $xx and operational by 19yy will be able to support the local loop wireless service business.
There are four distinct flavours of legacy systems across the four companies. Hardware and software is different, with three of the companies having an IBM mainframe in addition to other computers. Telekinesis installed IMRS on a high end x486 computer to provide financial consolidation and reporting of the four companies. Spreadsheet disks prepared at month end are FedExed to Telekinesis home office in Bernardsville, New Jersey and loaded into IMRS.
Specific Questions:
",PwC to Develop Business & IT Strategy for Telekinesis
increase sales/market share,Capgemini,"household goods & consumer products | e-commerce, online business","Case Interview Question #00278: Your clent The Clorox Company (NYSE: CLX) is a large consumer products company based in Oakland, California, United States. Clorox manufactures various food and chemical products and is best known for its bleach product, Clorox. The company currently also owns a number of other well-known household and professional brands across a wide variety of products, including Brita water filtration systems, Burt’s Bees natural cosmetics and personal care products, Green Works natural cleaners, and Formula 409 hard surface cleaners.
The management team of Clorox has decided it is interested in substantially increasing the size of Clorox’s operations and would like to introduce the technology of the Internet to assist them. Its goal is to double total sales and profits in less than three to five years. As a management consultant brought in to advise, what would you do? What issues would you consider? What are some likely strategic alternatives for the company?
Possible Issues to Consider:
The 3 C’s Analysis may be used (Company, Customer, Competition) or Firm Analysis (internal factors: company strengths and weaknesses, external factors: company systems and resources).You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Clorox to Double Sales & Profits in Less Than 5 Years
increase sales/market share | mergers & acquisitions  ,Seabury Group,airlines,"Case Interview Question #00277: You are a brand manager for AirTran Airways, a low-cost airline recently acquired by Dallas, Texas-based Southwest Airlines. AirTran operates over 1,000 daily flights, primarily in the eastern and midwestern United States. Its principal hubs are Hartsfield-Jackson Atlanta International Airport, where it operates over 200 daily departures, and General Mitchell International Airport in Milwaukee, Wisconsin.
In September 2010, Southwest Airlines announced it would acquire Orlando-based AirTran Airways for a total of $1.4 billion. The acquisition would give Southwest a significant presence at many of AirTran’s hubs such as Atlanta, GA (the largest U.S. city without Southwest service), Milwaukee, WI, and expanded service in Baltimore, MD and Orlando, FL. Since the official announcement of acquisition, you notice that your brand’s market share at Milwaukee’s Mitchell International Airport is declining. What are the things you will want to explore to assess the situation? What would you do to reverse AirTran’s falling market share at Mitchell International Airport?
Possible Answer:
You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",AirTran Airways to Add More Service at Mitchell Airport
improve profitability,McKinsey & Company,insurance: life & health | healthcare: hospital & medical,"Case Interview Question #00276: Client’s Goal: To determine how to improve its financial situation. Our client is Magna Health, a health care company in the Midwest. It both insures patients and provides health care services. Employers pay a fixed premium to Magna for each of their employees  in return for which Magna covers all necessary health services of the employee (ranging from physician care, and medications to hospitalization).
Magna currently has 300,000 patients enrolled in its plan. It has 300 salaried physician employees who provide a broad range of services to patients in 6 centers. These physicians represent a wide range of specialty areas, but not all areas. When a patient needs medical treatment in a specialty area not covered by a Magna physician, they are referred outside of the Magna network for care, and Magna pays all referral costs on a fee-for-service basis. Magna does not own any hospitals itself, instead contracting services from several local hospitals.
Magna’s CEO has retained McKinsey to help determine what is causing the declining profitability and how Magna might fix it.
Question #1: What key areas would you want to explore in order to understand Magna’s decline in profitability?
Possible Answer:
You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Magna Health Hires McKinsey to Fix Declining Profitability
market sizing,Seabury Group,"apparel, clothing & textiles","Case Interview Question #00275: How many pairs of boxers are sold in the U.S. each year?
Interview Tips:
This is a typical population-based market sizing case. Usually, this kind of cases have a simple format “How many units of product X are consumed every year in country/region Y”, and can be solved by the following approach:
Possible Answer:
You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",How Many Pairs of Boxers Are Sold in U.S. Each Year?
market entry/new market | market sizing,Quartz Strategy Consultants,mass media & communications,"Case Interview Question #00274: Your client WSOY (Werner Soderstrom Osakeyhtio, Finnish publishing company) provides publishing and printing services in Nordic. Based in Helsinki, Finland, it publishes business publications, dictionaries, computer books, e-learning solutions, text books. The company also involves in printing advertising materials, annual reports, and gift packaging.
You are working on a project for a subsidiary of WSOY that sells annual paper-based calendars. Specifically, you are asked for your perspective on three questions:
1. The calendar company faces some significant challenges. What do you think are the major strategic challenges?
2. The calendar company is considering entering the Danish market. What must be considered before deciding whether or not to enter the Danish market?
3. How big is the Danish market for calendar?
",Finnish Calendar Publisher WSOY Eyes Danish Market
